scenario   Ne/Mean(N)      t/Mean(N)       Na/Mean(N)   
   1           1.000           2.634           1.335
   1           1.000           2.107           1.524
   1           1.000           1.599        6.067e-1
   1           1.000           4.636        7.779e-1
   1           1.000           1.705           1.087
   1           1.000           1.647        8.540e-1
   1           1.000           4.912        9.375e-1
   1           1.000           1.830        6.475e-1
   1           1.000           2.582        9.321e-1
   1           1.000           2.741           2.107
   1           1.000           4.189           2.048
   1           1.000           4.857           2.382
   1           1.000           2.256           1.202
   1           1.000           1.837        7.763e-1
   1           1.000           2.211        9.480e-1
   1           1.000        9.933e-1           1.233
   1           1.000           3.745           2.412
   1           1.000           1.432        5.035e-1
   1           1.000           3.257        5.772e-1
   1           1.000           4.075        9.000e-1
   1           1.000           2.955           1.939
   1           1.000           1.408           1.505
   1           1.000           1.248           1.407
   1           1.000           1.647           2.193
   1           1.000           2.018        4.619e-1
   1           1.000           2.508           1.349
   1           1.000           3.311           2.705
   1           1.000           4.541           3.175
   1           1.000           3.818           1.197
   1           1.000           2.626        3.395e-2
   1           1.000           2.923           1.750
   1           1.000           3.939           1.641
   1           1.000           2.716           1.969
   1           1.000           2.065        4.022e-1
   1           1.000           2.389        9.067e-1
   1           1.000           1.716        3.823e-1
   1           1.000           4.530           1.418
   1           1.000           4.549           2.296
   1           1.000           2.263        4.068e-1
   1           1.000           1.458        7.937e-1
   1           1.000           2.575           1.011
   1           1.000           1.631           1.049
   1           1.000           3.557           3.438
   1           1.000           3.431           1.813
   1           1.000        9.414e-1           1.065
   1           1.000        9.057e-1        9.077e-2
   1           1.000           1.631           1.065
   1           1.000           2.124           1.130
   1           1.000           2.637        9.096e-1
   1           1.000           1.164           1.441
   1           1.000           1.170           1.399
   1           1.000           3.305           1.808
   1           1.000           5.659           1.600
   1           1.000           2.116        7.344e-1
   1           1.000           5.389           1.862
   1           1.000           5.090           2.454
   1           1.000           3.900           1.955
   1           1.000           3.544        4.188e-1
   1           1.000           3.562           1.074
   1           1.000           2.462           1.349
   1           1.000           1.261        6.078e-1
   1           1.000           2.369        2.246e-1
   1           1.000           1.981           2.507
   1           1.000           6.001           5.258
   1           1.000           1.592           1.346
   1           1.000           4.283           1.597
   1           1.000           2.153           1.172
   1           1.000           3.380           2.083
   1           1.000           1.893        2.553e-1
   1           1.000           1.254           1.147
   1           1.000           3.195           1.566
   1           1.000        9.438e-1        7.204e-1
   1           1.000           1.997        4.918e-1
   1           1.000           4.843        5.695e-1
   1           1.000           2.620           1.804
   1           1.000           1.307        5.323e-1
   1           1.000           3.383           1.466
   1           1.000           3.219           2.201
   1           1.000           2.839           2.029
   1           1.000           2.784           4.243
   1           1.000           3.631        9.655e-1
   1           1.000           1.746           1.700
   1           1.000           2.654           1.515
   1           1.000           1.559        5.038e-1
   1           1.000           2.851           2.779
   1           1.000           1.719        3.372e-1
   1           1.000           1.148        7.283e-1
