scenario   Ne/Mean(N)      t/Mean(N)       Na/Mean(N)   
   1           1.000          12.228        6.560e-1
   1           1.000          12.228        1.740e-1
   1           1.000          12.213        8.613e-1
   1           1.000          12.228        7.532e-1
   1           1.000          11.928           1.412
   1           1.000          12.081        1.840e-1
   1           1.000          12.228        7.497e-1
   1           1.000          12.157        7.404e-1
   1           1.000          12.228        7.390e-1
   1           1.000          11.593        4.006e-1
   1           1.000          12.228        9.038e-1
   1           1.000          11.355        5.382e-1
   1           1.000          12.228        2.614e-1
   1           1.000          11.064        1.827e-1
   1           1.000          11.991        4.544e-1
   1           1.000          12.228        7.416e-1
   1           1.000          12.228        6.972e-1
   1           1.000          11.601        8.339e-1
   1           1.000          11.243        2.043e-1
   1           1.000          11.736        5.516e-1
   1           1.000          12.098        3.135e-1
   1           1.000          11.906        7.629e-1
   1           1.000          12.228        2.829e-1
   1           1.000          12.228        4.413e-1
   1           1.000          12.228        7.893e-2
   1           1.000          12.228        4.059e-2
   1           1.000          12.228           1.159
   1           1.000          12.121        1.249e-1
   1           1.000          12.228        3.255e-1
   1           1.000          11.906        5.455e-1
   1           1.000          12.228        4.590e-1
   1           1.000          11.854        9.423e-2
   1           1.000          11.932        5.047e-1
   1           1.000          12.228        5.706e-1
   1           1.000          12.228        4.433e-1
   1           1.000          12.079        5.580e-1
   1           1.000          12.228        4.880e-1
